id_subsistena;nom_subsistema;din_instante;val_gerhidraulica;val_gertermica;val_gereolica;val_gersolar;val_carga;val_intercambio
NE;NORDESTE;2023-01-01 00:00:00;3874.07299804;677.06298828;13305.26171875;1.93200004;10455.81799999;7402.51200000
N;NORTE;2023-01-01 00:00:00;7858.74414062;877.85498046;211.77200317;0E-8;5990.55300000;2957.81799999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 00:00:00;39057.30900000;5698.33500000;14138.75000000;21.15500000;58904.08000000;11.47000000
SE;SUDESTE/CENTRO-OESTE;2023-01-01 00:00:00;24661.11132812;4071.57690429;6.00000000;18.22299957;32183.88499999;-3426.97400000
S;SUL;2023-01-01 00:00:00;2663.38110351;71.83999633;615.71600341;1.00000000;10273.82699999;-6921.88999999
NE;NORDESTE;2023-01-01 01:00:00;3374.27392578;678.44201660;12960.62695312;1.01300001;10481.70999999;6532.64600000
N;NORTE;2023-01-01 01:00:00;8261.91308593;880.13702392;218.95199584;0E-8;5981.21600000;3379.78600000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 01:00:00;39624.65000000;5727.55000000;13790.85900000;20.25800000;59163.32000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 01:00:00;24306.15234375;4099.46386718;5.00000000;18.24500083;32196.68200000;-3767.82100000
S;SUL;2023-01-01 01:00:00;3682.31103515;69.50700378;606.28002929;1.00000000;10503.70899999;-6144.61100000
NE;NORDESTE;2023-01-01 02:00:00;2631.37011718;678.74597167;12754.95312500;0.93300002;10475.74000000;5590.26200000
N;NORTE;2023-01-01 02:00:00;8026.06689453;880.28900146;265.62600708;0E-8;6031.89200000;3140.09000000
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 02:00:00;38960.54100000;5712.61400000;13612.56500000;20.17000000;58305.89000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 02:00:00;23864.60742187;4086.01196289;5.00000000;18.23699951;31539.57000000;-3565.71400000
S;SUL;2023-01-01 02:00:00;4438.49707031;67.56700134;586.98602294;1.00000000;10258.68799999;-5164.63800000
NE;NORDESTE;2023-01-01 03:00:00;2539.76000976;675.98602294;12524.64355468;0.36500000;10404.68199999;5336.07300000
N;NORTE;2023-01-01 03:00:00;7754.11718750;868.80603027;192.94299316;0E-8;5994.13100000;2821.73499999
SIN;SISTEMA INTERLIGADO NACIONAL;2023-01-01 03:00:00;38017.07000000;5700.56300000;13277.32100000;19.59500000;57014.55000000;0E-8
SE;SUDESTE/CENTRO-OESTE;2023-01-01 03:00:00;23587.18945312;4087.11889648;5.00000000;18.22999954;30699.36699999;-3001.82799999
S;SUL;2023-01-01 03:00:00;4136.00292968;68.65200042;554.73400878;1.00000000;9916.36899999;-5155.97999999
